Dataset,Pnumber,Cellline,Rawfile,Name
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_E05_P001389_B00J_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_A05_P001389_B00F_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_D05_P001389_B00I_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_D04_P001389_B00A_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_B05_P001389_B00G_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_F04_P001389_B00C_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_F05_P001389_B00K_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001389,MDA-MB-231,000234_G04_P001389_B00D_A00_R1.raw,MDA-MB-231 cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_A03_P001390_B00B_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_F03_P001390_B00G_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_D03_P001390_B00E_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_H02_P001390_B00A_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_H03_P001390_B00I_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_G03_P001390_B00H_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_B04_P001390_B00K_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_E03_P001390_B00F_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_C04_P001390_B00L_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_B03_P001390_B00C_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_C03_P001390_B00D_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001390,LOX IMVI,000234_A04_P001390_B00J_A00_R1.raw,LOX-IMVI cell
full proteome of 59 cell lines,P001561,SNB-75,00261_B01_P001561_B00B_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_B02_P001561_B00J_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_G01_P001561_B00G_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_C01_P001561_B00C_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_H01_P001561_B00H_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_A01_P001561_B00A_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_A02_P001561_B00I_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_D01_P001561_B00D_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_D02_P001561_B00L_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_F01_P001561_B00F_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_C02_P001561_B00K_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001561,SNB-75,00261_E01_P001561_B00E_A00_R1.raw,SNB-75 cell
full proteome of 59 cell lines,P001562,M14,00261_C03_P001562_B00G_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_H02_P001562_B00D_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_E02_P001562_B00A_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_G02_P001562_B00C_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_F03_P001562_B00J_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_B03_P001562_B00F_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_E03_P001562_B00I_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_D03_P001562_B00H_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_F02_P001562_B00B_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_G03_P001562_B00K_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_A03_P001562_B00E_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001562,M14,00261_H03_P001562_B00L_A00_R1.raw,M14 cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_E06_P001564_B00I_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_C06_P001564_B00G_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_G06_P001564_B00K_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_H05_P001564_B00D_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_H06_P001564_B00L_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_G05_P001564_B00C_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_F06_P001564_B00J_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_D06_P001564_B00H_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_E05_P001564_B00A_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_F05_P001564_B00B_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_B06_P001564_B00F_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_A06_P001564_B00E_A00_R1.raw,MCF-7/adr cell
full proteome of 59 cell lines,P001565,HT-29,00261_B08_P001565_B00J_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_C08_P001565_B00K_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_A07_P001565_B00A_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_D07_P001565_B00D_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_E07_P001565_B00E_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_G07_P001565_B00G_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_B07_P001565_B00B_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_H07_P001565_B00H_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_A08_P001565_B00I_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_F07_P001565_B00F_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_C07_P001565_B00C_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001565,HT-29,00261_D08_P001565_B00L_A00_R1.raw,HT-29 cell
full proteome of 59 cell lines,P001566,H226,00256_A07_P001566_B00A_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_B07_P001566_B00B_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_G07_P001566_B00G_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_A08_P001566_B00I_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_H07_P001566_B00H_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_E07_P001566_B00E_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_D08_P001566_B00L_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_C08_P001566_B00K_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_B08_P001566_B00J_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_F07_P001566_B00F_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_C07_P001566_B00C_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001566,H226,00256_D07_P001566_B00D_A00_R1.raw,NCI-H226 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_A06_P001567_B00E_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_H06_P001567_B00L_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_H05_P001567_B00D_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_G05_P001567_B00C_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_C06_P001567_B00G_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_B06_P001567_B00F_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_F06_P001567_B00J_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_F05_P001567_B00B_A00_R2.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_G06_P001567_B00K_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_D06_P001567_B00H_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_E05_P001567_B00A_A00_R2.raw,RXF-393 cell
full proteome of 59 cell lines,P001567,RXF-393,00256_E06_P001567_B00I_A00_R1.raw,RXF-393 cell
full proteome of 59 cell lines,P001569,U-251,00256_E02_P001569_B00A_A00_R2.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_B03_P001569_B00F_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_A03_P001569_B00E_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_G02_P001569_B00C_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_C03_P001569_B00G_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_H02_P001569_B00D_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_D03_P001569_B00H_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_F02_P001569_B00B_A00_R2.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_G03_P001569_B00K_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_E03_P001569_B00I_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_H03_P001569_B00L_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001569,U-251,00256_F03_P001569_B00J_A00_R1.raw,U-251 MG cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_D01_P001570_B00D_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_F01_P001570_B00F_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_B01_P001570_B00B_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_A02_P001570_B00I_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_E01_P001570_B00E_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_C01_P001570_B00C_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_B02_P001570_B00J_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_H01_P001570_B00H_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_G01_P001570_B00G_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_C02_P001570_B00K_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_A01_P001570_B00A_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001570,SK-MEL-5,00256_D02_P001570_B00L_A00_R1.raw,SK-MEL-5 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_H04_P001744_A00_B00H_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_B05_P001744_A00_B00J_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_C04_P001744_A00_B00C_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_F04_P001744_A00_B00F_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_B04_P001744_A00_B00B_R2.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_A04_P001744_A00_B00A_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_C05_P001744_A00_B00K_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_A05_P001744_A00_B00I_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_G04_P001744_A00_B00G_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_D04_P001744_A00_B00D_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_D05_P001744_A00_B00L_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001744,SKOV-3,000279_E04_P001744_A00_B00E_R1.raw,SKOV-3 cell
full proteome of 59 cell lines,P001745,DU-145,00279_F02_P001745_B00B_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_H03_P001745_B00L_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_G02_P001745_B00C_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_D03_P001745_B00H_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_E03_P001745_B00I_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_H02_P001745_B00D_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_E02_P001745_B00A_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_F03_P001745_B00J_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_A03_P001745_B00E_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_G03_P001745_B00K_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_C03_P001745_B00G_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001745,DU-145,00279_B03_P001745_B00F_A00_R1.raw,DU-145 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_E07_P001747_B00E_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_B07_P001747_B00B_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_H07_P001747_B00H_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_G07_P001747_B00G_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_A08_P001747_B00I_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_B08_P001747_B00J_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_F07_P001747_B00F_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_C07_P001747_B00C_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_D08_P001747_B00L_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_C08_P001747_B00K_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_A07_P001747_B00A_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001747,OVCAR-3,00287_D07_P001747_B00D_A00_R1.raw,OVCAR-3 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_B06_P001748_B00F_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_H06_P001748_B00L_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_H05_P001748_B00D_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_F06_P001748_B00J_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_F05_P001748_B00B_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_E06_P001748_B00I_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_G06_P001748_B00K_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_G05_P001748_B00C_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_A06_P001748_B00E_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_C06_P001748_B00G_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_D06_P001748_B00H_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001748,IGROV-1,000287_E05_P001748_B00A_A00_R1.raw,IGROV-1 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_D05_P001749_B00L_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_H04_P001749_B00H_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_B04_P001749_B00B_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_C04_P001749_B00C_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_B05_P001749_B00J_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_F04_P001749_B00F_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_E04_P001749_B00E_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_C05_P001749_B00K_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_G04_P001749_B00G_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_D04_P001749_B00D_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_A05_P001749_B00I_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001749,SK-MEL-2,00287_A04_P001749_B00A_A00_R1.raw,SK-MEL-2 cell
full proteome of 59 cell lines,P001750,SR,00287_B03_P001750_B00F_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_C03_P001750_B00G_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_H02_P001750_B00D_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_E03_P001750_B00I_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_F03_P001750_B00J_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_A03_P001750_B00E_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_D03_P001750_B00H_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_E02_P001750_B00A_A00_R2.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_F02_P001750_B00B_A00_R2.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_H03_P001750_B00L_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_G03_P001750_B00K_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001750,SR,00287_G02_P001750_B00C_A00_R1.raw,SR cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_D02_P001888_B00L_A00_R1.raw,OVCAR-4 cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_E01_P001888_B00E_A00_R1.raw,OVCAR-4 cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_F01_P001888_B00F_A00_R1.raw,OVCAR-4 cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_C02_P001888_B00K_A00_R1.raw,OVCAR-4 cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_A02_P001888_B00I_A00_R1.raw,OVCAR-4 cell
full proteome of 59 cell lines,P001888,OVCAR-4,00297_G01_P001888_B00G_A00_R1.raw,OVCAR-4 cell
