Dataset,Pnumber,Cellline,Rawfile,Name
deep proteome of 9 cell lines,P003811,,00522_A02_P003811_B0I_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_F02_P003811_B0N_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_G02_P003811_B0O_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_E03_P003811_B0U_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_C01_P003811_B0C_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_C02_P003811_B0K_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_F01_P003811_B0F_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_D02_P003811_B0L_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003811,,00522_A01_P003811_B0A_A00_R1.raw,Colo-205 cell
deep proteome of 9 cell lines,P003812,,00522_E04_P003812_B0E_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C04_P003812_B0C_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B05_P003812_B0J_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C06_P003812_B0S_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D06_P003812_B0T_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_E06_P003812_B0U_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_H06_P003812_B0X_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G05_P003812_B0O_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F06_P003812_B0V_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A06_P003812_B0Q_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F04_P003812_B0F_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G06_P003812_B0W_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B06_P003812_B0R_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D05_P003812_B0L_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A05_P003812_B0I_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_D04_P003812_B0D_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_F05_P003812_B0N_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_B04_P003812_B0B_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_C05_P003812_B0K_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_G04_P003812_B0G_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_H05_P003812_B0P_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_H04_P003812_B0H_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_E05_P003812_B0M_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003812,,00522_A04_P003812_B0A_A00_R1.raw,RXF-393 cell
deep proteome of 9 cell lines,P003813,,00522_D09_P003813_B0T_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A09_P003813_B0Q_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H07_P003813_B0H_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_E08_P003813_B0M_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_B07_P003813_B0B_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G07_P003813_B0G_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H08_P003813_B0P_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0I_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_B08_P003813_B0J_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0A_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G08_P003813_B0O_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_C08_P003813_B0K_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G09_P003813_B0W_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F09_P003813_B0V_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F08_P003813_B0N_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_D08_P003813_B0L_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H09_P003813_B0X_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_B09_P003813_B0R_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F07_P003813_B0F_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_D07_P003813_B0D_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_C07_P003813_B0C_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_C09_P003813_B0S_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_E07_P003813_B0E_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_E09_P003813_B0U_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003814,,00522_D12_P003814_B0T_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_H10_P003814_B0H_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_G10_P003814_B0G_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_C10_P003814_B0C_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_B10_P003814_B0B_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_A11_P003814_B0I_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_H12_P003814_B0X_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_F10_P003814_B0F_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_E11_P003814_B0M_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_B11_P003814_B0J_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_G11_P003814_B0O_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_C12_P003814_B0S_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_F12_P003814_B0V_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_F11_P003814_B0N_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_H11_P003814_B0P_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_G12_P003814_B0W_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_B12_P003814_B0R_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_E10_P003814_B0E_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_A12_P003814_B0Q_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_D11_P003814_B0L_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_E12_P003814_B0U_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_D10_P003814_B0D_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_C11_P003814_B0K_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003814,,00522_A10_P003814_B0A_A00_R1.raw,NCI-H460 cell
deep proteome of 9 cell lines,P003815,U-251,00523_C03_P003815_B0S_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_E02_P003815_B0M_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_F01_P003815_B0F_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_D02_P003815_B0L_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_G01_P003815_B0G_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_E03_P003815_B0U_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_B03_P003815_B0R_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_A02_P003815_B0I_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_A03_P003815_B0Q_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_E01_P003815_B0E_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_B01_P003815_B0B_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_C01_P003815_B0C_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_H01_P003815_B0H_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_A01_P003815_B0A_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_H02_P003815_B0P_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_B02_P003815_B0J_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_G03_P003815_B0W_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_G02_P003815_B0O_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_F03_P003815_B0V_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_D01_P003815_B0D_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_C02_P003815_B0K_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_H03_P003815_B0X_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_F02_P003815_B0N_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003815,U-251,00523_D03_P003815_B0T_A00_R1.raw,U-251 MG cell
deep proteome of 9 cell lines,P003816,,00523_A05_P003816_B0I_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_B06_P003816_B0R_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_E04_P003816_B0E_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_H05_P003816_B0P_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_F04_P003816_B0F_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_C04_P003816_B0C_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_G04_P003816_B0G_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_B04_P003816_B0B_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_E06_P003816_B0U_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_A06_P003816_B0Q_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_B05_P003816_B0J_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_F05_P003816_B0N_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_E05_P003816_B0M_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_D04_P003816_B0D_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_G06_P003816_B0W_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_C06_P003816_B0S_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_C05_P003816_B0K_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_G05_P003816_B0O_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_D06_P003816_B0T_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_D05_P003816_B0L_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_H06_P003816_B0X_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_F06_P003816_B0V_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_A04_P003816_B0A_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003816,,00523_H04_P003816_B0H_A00_R1.raw,SKOV-3 cell
deep proteome of 9 cell lines,P003817,,00523_F07_P003817_B0F_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_G08_P003817_B0O_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_E07_P003817_B0E_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_E09_P003817_B0U_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_D07_P003817_B0D_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_B08_P003817_B0J_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_D09_P003817_B0T_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_H09_P003817_B0X_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_A07_P003817_B0A_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_A07_P003817_B0I_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_C07_P003817_B0C_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_F08_P003817_B0N_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_F09_P003817_B0V_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_H08_P003817_B0P_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_H07_P003817_B0H_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_A09_P003817_B0Q_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_C08_P003817_B0K_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_G09_P003817_B0W_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_B09_P003817_B0R_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_B07_P003817_B0B_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_G07_P003817_B0G_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_E08_P003817_B0M_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_D08_P003817_B0L_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003817,,00523_C09_P003817_B0S_A00_R1.raw,M14 cell
deep proteome of 9 cell lines,P003818,,00523_E12_P003818_B0U_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_C11_P003818_B0K_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_H12_P003818_B0X_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_A11_P003818_B0I_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_G12_P003818_B0W_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_F12_P003818_B0V_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_G11_P003818_B0O_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_B10_P003818_B0B_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_C10_P003818_B0C_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_D12_P003818_B0T_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_F10_P003818_B0F_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_B12_P003818_B0R_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_H10_P003818_B0H_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_E11_P003818_B0M_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_A10_P003818_B0A_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_C12_P003818_B0S_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_B11_P003818_B0J_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_G10_P003818_B0G_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_D11_P003818_B0L_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_D10_P003818_B0D_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_F11_P003818_B0N_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_E10_P003818_B0E_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_A12_P003818_B0Q_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003818,,00523_H11_P003818_B0P_A00_R1.raw,MCF-7 cell
deep proteome of 9 cell lines,P003819,,00524_H03_P003819_B0X_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_H02_P003819_B0P_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_G01_P003819_B0G_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_H01_P003819_B0H_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_F03_P003819_B0V_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_C01_P003819_B0C_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_B02_P003819_B0J_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_D03_P003819_B0T_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_C02_P003819_B0K_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_E01_P003819_B0E_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_A03_P003819_B0Q_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_G03_P003819_B0W_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_A02_P003819_B0I_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_D02_P003819_B0L_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_B03_P003819_B0R_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_E03_P003819_B0U_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_F01_P003819_B0F_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_G02_P003819_B0O_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_C03_P003819_B0S_A00_R1.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_A01_P003819_B0A_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_E02_P003819_B0M_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_B01_P003819_B0B_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_D01_P003819_B0D_A00_R2.raw,CCRF-CEM cell
deep proteome of 9 cell lines,P003819,,00524_F02_P003819_B0N_A00_R2.raw,CCRF-CEM cell
full proteome of 59 cell lines,P003820,KM12,00524_B05_P003820_B00J_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_C04_P003820_B00C_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_F04_P003820_B00F_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_C05_P003820_B00K_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_D05_P003820_B00L_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_E04_P003820_B00E_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_B04_P003820_B00B_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_H04_P003820_B00H_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_D04_P003820_B00D_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_A05_P003820_B00I_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_A04_P003820_B00A_A00_R1.raw,KM-12 cell
full proteome of 59 cell lines,P003820,KM12,00524_G04_P003820_B00G_A00_R1.raw,KM-12 cell
